v2,V(vgs),Id(J1)
-1.780000000000085e+000,-1.780000e+000,1.179000e-011
-1.770000000000085e+000,-1.770000e+000,1.178000e-011
-1.760000000000085e+000,-1.760000e+000,1.177000e-011
-1.750000000000085e+000,-1.750000e+000,1.176000e-011
-1.740000000000085e+000,-1.740000e+000,1.181530e-011
-1.730000000000085e+000,-1.730000e+000,1.200120e-011
-1.720000000000085e+000,-1.720000e+000,1.231770e-011
-1.710000000000085e+000,-1.710000e+000,1.276480e-011
-1.700000000000085e+000,-1.700000e+000,1.334250e-011
-1.690000000000085e+000,-1.690000e+000,1.405080e-011
-1.680000000000085e+000,-1.680000e+000,1.488970e-011
-1.670000000000085e+000,-1.670000e+000,1.585920e-011
-1.660000000000085e+000,-1.660000e+000,1.695930e-011
-1.650000000000085e+000,-1.650000e+000,1.819000e-011
-1.640000000000085e+000,-1.640000e+000,1.955130e-011
-1.630000000000085e+000,-1.630000e+000,2.104320e-011
-1.620000000000085e+000,-1.620000e+000,2.266570e-011
-1.610000000000085e+000,-1.610000e+000,2.441880e-011
-1.600000000000085e+000,-1.600000e+000,2.630250e-011
-1.590000000000085e+000,-1.590000e+000,2.831680e-011
-1.580000000000085e+000,-1.580000e+000,3.046170e-011
-1.570000000000085e+000,-1.570000e+000,3.273720e-011
-1.560000000000085e+000,-1.560000e+000,3.514330e-011
-1.550000000000085e+000,-1.550000e+000,3.768000e-011
-1.540000000000085e+000,-1.540000e+000,4.034730e-011
-1.530000000000085e+000,-1.530000e+000,4.314520e-011
-1.520000000000085e+000,-1.520000e+000,4.607370e-011
-1.510000000000085e+000,-1.510000e+000,4.913280e-011
-1.500000000000085e+000,-1.500000e+000,5.232250e-011
-1.490000000000085e+000,-1.490000e+000,5.564280e-011
-1.480000000000085e+000,-1.480000e+000,5.909370e-011
-1.470000000000085e+000,-1.470000e+000,6.267520e-011
-1.460000000000085e+000,-1.460000e+000,6.638730e-011
-1.450000000000085e+000,-1.450000e+000,7.023000e-011
-1.440000000000085e+000,-1.440000e+000,7.420330e-011
-1.430000000000085e+000,-1.430000e+000,7.830720e-011
-1.420000000000085e+000,-1.420000e+000,8.254170e-011
-1.410000000000085e+000,-1.410000e+000,8.690680e-011
-1.400000000000085e+000,-1.400000e+000,9.140250e-011
